cwe_name,summary,cvss
Vulnerability in JCDashboards component for Joomla (20 Dec 2023),"A Server Side Request Forgery (SSRF) which lead to a Local File Inclusion (LFI) vulnerability has been discovered in the JCDashboards component for Joomla.
CVE ID: CVE-2023-40630 (Critical)",4.716474904664172
Vulnerability in SchedMD Slurm (20 Dec 2023),"A SQL injection vulnerability has been discovered in SchedMD Slurm. The affected version is SchedMD Slurm 23.11.x. Security updates are available.
CVE ID: CVE-2023-49934 (Critical)",4.90902326540879
Vulnerability in Avalanche (20 Dec 2023),"A Remove Code Execution (RCE) vulnerability due to unrestricted upload of files has been discovered in Avalanche. The affected versions are Avalanche 6.4.1 and below.
CVE ID: CVE-2023-46264 (Critical)",6.186601152222907
Vulnerability in Avalanche (20 Dec 2023),"A Remove Code Execution (RCE) vulnerability due to unrestricted upload of files has been discovered in Avalanche. The affected versions are Avalanche 6.4.1 and below.
CVE ID: CVE-2023-46263 (Critical)",6.186601152222907
Vulnerability in Shenzhen Libituo Technology Co. Ltd (19 Dec 2023),"A buffer overflow vulnerability has been discovered in Shenzhen Libituo Technology Co. Ltd. The affected version is Shenzhen Libituo Technology Co. Ltd LBT-T300-T310 v2.2.2.6.
CVE ID: CVE-2023-50469 (Critical)",6.433728318190421
Vulnerability in MajorDoMo (19 Dec 2023),"A command execution vulnerability has been discovered in MajorDoMo. The affected versions are MajorDoMo (aka Major Domestic Module) before 0662e5e.
CVE ID: CVE-2023-50917 (Critical)",5.262858579553353
Vulnerability in NETGEAR (19 Dec 2023),"A command injection vulnerability has been discovered in NETGEAR WNR2000v4. The affected version is NETGEAR WNR2000v4 version 1.0.0.70.
CVE ID: CVE-2023-50089 (Critical)",5.749256479216542
Mozilla Released Security Updates (19 Nov 2023),"Mozilla has released security updates to address multiple vulnerabilities in Firefox 121, Thunderbird 115.6, and Firefox ESR 115.6. An attacker can exploit these vulnerabilities to take control of an affected system.
CVE ID: CVE-2023-6856 (High), CVE-2023-6135 (High), CVE-2023-6865 (High), CVE-2023-6857 (Medium), CVE-2023-6858 (Medium), CVE-2023-6859 (Medium), CVE-2023-6866 (Medium), CVE-2023-6860 (Medium), CVE-2023-6867 (Medium), CVE-2023-6861 (Medium), CVE-2023-6868 (Medium), CVE-2023-6869 (Low), CVE-2023-6870 (Low), CVE-2023-6871 (Low), CVE-2023-6872 (Low), CVE-2023-6863 (Low), CVE-2023-6864 (High), CVE-2023-6873 (High)",5.157815517140822
Vulnerability in Apache Dubbo (19 Dec 2023),"A deserialization of untrusted data vulnerability has been discovered in Apache Dubbo. The affected version is Apache Dubbo 3.1.5. Security updates are available.
CVE ID: CVE-2023-46279 (Critical)",4.63434040066487
Vulnerability in Dokmee ECM (19 Dec 2023),"A Remote Code Execution (RCE) vulnerability has been discovered in Dokmee ECM. The affected version is Dokmee ECM 7.4.6.
CVE ID: CVE-2023-47261 (Critical)",7.917308333333335
Vulnerability in Joomla (19 Dec 2023),"A SQLi vulnerability has been discovered in the Starshop component of Joomla.
CVE ID: CVE-2023-49708 (Critical)",5.709919756567002
Vulnerability in Joomla (19 Dec 2023),"A SQLi vulnerability has been discovered in the S5 Register module for Joomla.
CVE ID: CVE-2023-49707 (Critical)",5.533709720334693
Vulnerability in Nagios XI (19 Dec 2023),"A Remote Code Execution (RCE) vulnerability has been discovered in Nagios XI. The affected versions are Nagios XI before version 5.11.3.
CVE ID: CVE-2023-48085 (Critical)",7.845308333333334
Vulnerability in Nagios XI (19 Dec 2023),"A SQL injection vulnerability has been discovered in Nagios XI. The affected versions are Nagios XI before version 5.11.3.
CVE ID: CVE-2023-48084 (Critical)",4.660330475252675
Vulnerability in Joomla (19 Dec 2023),"A SQLi vulnerability has been discovered in the LMS Lite component for Joomla.
CVE ID: CVE-2023-40629 (Critical)",5.554905372508606
Vulnerability in Semcms (18 Dec 2023),"A SQL injection vulnerability has been discovered in Semcms. The affected version is Semcms v4.8.
CVE ID: CVE-2023-50563 (Critical)",5.696323550714064
Vulnerability in EmpireCMS (18 Dec 2023),"A SQL injection vulnerability has been discovered in EmpireCMS. The affected version is EmpireCMS v7.5.
CVE ID: CVE-2023-50073 (Critical)",5.67664440694117
Vulnerability in Dell DM5500 (18 Dec 2023),"A stack-based buffer overflow vulnerability has been discovered in Dell DM5500. The affected version is Dell DM5500 5.14.0.0.
CVE ID: CVE-2023-44305 (Critical)",6.465514758573828
Vulnerability in GitHub Repository Modoboa(18 Dec 2023),"A weak password requirements vulnerability has been discovered in the GitHub repository Modoboa. The affected versions are GitHub repository Modoboa prior to 2.1.0.
CVE ID: CVE-2023-2160 (Critical)",4.452538877849576
Vulnerability in GitHub Repository thorsten/phpmyfaq (18 Dec 2023),"An authentication bypass vulnerability has been discovered in the GitHub repository thorsten/phpmyfaq. The affected versions are GitHub repository thorsten/phpmyfaq prior to 3.1.12.
CVE ID: CVE-2023-1886 (Critical)",4.215234047558813
Vulnerability in GitHub Repository thorsten/phpmyfaq (18 Dec 2023),"A weak password requirements vulnerability has been discovered in the GitHub repository  thorsten/phpmyfaq. The affected versions are GitHub repository thorsten/phpmyfaq prior to 3.1.12.
CVE ID: CVE-2023-1753 (Critical)",4.452538877849576
CVE - KB Correlation (18 Dec 2023),List of CVE IDs and corresponding Knowledge Base IDs as released by Microsoft during December 2023.,6.140797410995398
Vulnerability in PHOENIX CONTACT (14 Dec 2023),"An incorrect permission assignment for critical resource vulnerability has been discovered in PHOENIX CONTACT's Automation Worx & classic line controllers that allows to gain full access of the affected device.
CVE ID: CVE-2023-46141 (Critical)",5.531634802730699
Vulnerability in PHOENIX CONTACT (14 Dec 2023),"An incorrect permission assignment for critical resource vulnerability has been discovered in PHOENIX CONTACT MULTIPROG & PHOENIX CONTACT ProConOS eCLR (SDK) that allows to upload arbitrary malicious code and gain full access on the affected device.
CVE ID: CVE-2023-0757 (Critical)",6.179133486690125
Vulnerability in OpenEXR-viewer (14 Dec 2023),"A memory overflow vulnerability has been discovered in OpenEXR-viewer. The affected versions are OpenEXR-viewer prior to 0.6.1.
CVE ID: CVE-2023-50245 (Critical)",5.481338989355066
Apache Struts Vulnerability Affecting Cisco Products (14 Dec 2023),"A Remote Code Execution (RCE) vulnerability has been discovered in Apache Struts that is affecting Cisco products.
CVE ID: CVE-2023-50164 (Critical)",7.969808333333334
Google Released Security Updates for Chrome (14 Dec 2023),"Google has released Dev channel 122.0.6182.0 for Windows, Mac and Linux, and Chrome Dev 122 (122.0.6181.0) for Android.",5.33457247028738
Palo Alto Networks Released Security Updates (13 Dec 2023),"Palo Alto Networks has released security updates to resolve exposure of sensitive information and local file deletion vulnerabilities in its products.
CVE ID: CVE-2023-6790 (Medium), CVE-2023-6791 (Medium), CVE-2023-6794 (Medium), CVE-2023-6792 (Medium), CVE-2023-6795 (Medium), CVE-2023-6793 (Medium), CVE-2023-6789 (Medium)",4.249861806754156
Vulnerability in TOTOLink (13 Dec 2023),"A stack overflow vulnerability has been discovered in TOTOLink A7000R. The affected version is TOTOLink A7000R V9.1.0u.6115_B20201022.
CVE ID: CVE-2023-49418 (Critical)",6.1427759222851215
Vulnerability in TOTOLink (13 Dec 2023),"A stack overflow vulnerability has been discovered in TOTOLink A7000R. The affected version is TOTOLink A7000R V9.1.0u.6115_B20201022.
CVE ID: CVE-2023-49417 (Critical)",6.1427759222851215
APT 29 Exploiting Authentication Bypass Vulnerability in JetBrains TeamCity (13 Dec 2023),"It has been observed that Advanced Persistent Threat 29 (APT 29) aka Dukes, CozyBear & NOBELIUM/Midnight Blizzard is exploiting an authentication bypass vulnerability (CVE-2023-42793) that leads to Remote Code Execution (RCE) on TeamCity Server at a large scale. The affected products are JetBrains TeamCity before 2023.05.4. Cybersecurity & Infrastructure Security Agency (CISA) has released MITRE ATT&CK Tactics & Techniques, detection methods, mitigations and IoCs to protect organisations.",7.747974999999998
Google Released Security Updates for Chrome (13 Dec 2023),"Google has released Chrome Beta 121 (121.0.6167.18) for iOS, Dev channel OS version 15699.10.0, Browser version 121.0.6167.14 for most ChromeOS devices, Chrome Beta 121 (121.0.6167.18) for Android and Beta channel 121.0.6167.16 for Windows, Mac  & Linux.",5.335771775264491
VMware Security Update (12 Dec 2023),"VMware has released security updates to address a privilege escalation vulnerability in VMware Workspace ONE Launcher. An attacker can exploit this vulnerability to take control of an affected system.
CVE ID: CVE-2023-34064 (Medium)",5.215287736189888
Vulnerability in Schneider Electric's Equipment (12 Dec 2023),"A path traversal vulnerability has been discovered in Schneider Electric's Equipment- Easy UPS Online monitoring software. The affected versions are Schneider Electric Easy UPS Online monitoring software (Windows 10, 11, Windows Server 2016, 2019, 2022): 2.6-GA-01-23116 and prior. The mitigations are available.
CVE ID: CVE-2023-6407 (Medium)",4.65616688608341
Adobe Released Security Updates (12 Dec 2023),Adobe has released security updates to address multiple vulnerabilities in Adobe software. An attacker can exploit these vulnerabilities to take control of an affected system.,5.0613104940421225
Multiple Vulnerabilities in Fortinet Products (12 Dec 2023),"Multiple vulnerabilities have been discovered in FortiOS, FortiPAM and FortiProxy. Security updates are available.
CVE ID: CVE-2023-41678 (High), CVE-2023-47536 (Low), CVE-2023-36639 (High)",5.083098823535438
Microsoft Released December 2023 Security Updates (12 Dec 2023),"Microsoft has released security updates to address multiple vulnerabilities in its products. An attacker can exploit some of these vulnerabilities to take control of an affected system.
CVE ID: CVE-2023-35618 (Critical), CVE-2023-36019 (Critical)",4.964972957548483
Google Released Security Updates for Chrome (12 Dec 2023),"Google has released Stable channel OS version: 15633.69.0 Browser version: 119.0.6045.212 for most ChromeOS devices, Chrome Stable 120 (120.0.6099.119) for iOS and Stable channel 120.0.6099.109 for Mac, Linux and Windows to resolve multiple vulnerabilities.
CVE ID: CVE-2023-6702 (High), CVE-2023-6703 (High), CVE-2023-6704 (High), CVE-2023-6705 (High), CVE-2023-6706 (High), CVE-2023-6707 (High)",5.446578960048158
Vulnerability in DrayTek Vigor167 (12 Dec 2023),"An OS Command Injection vulnerability has been discovered in DrayTek Vigor167. The affected version is DrayTek Vigor167 version 5.2.2.
CVE ID: CVE-2023-47254 (Critical)",5.911139499248125
Apple Security Updates (11 Dec 2023),"Apple has released security updates to address multiple vulnerabilities in its products. An attacker can exploit these vulnerabilities to take control of an affected device.
CVE ID: CVE-2023-42874, CVE-2023-42890, CVE-2023-42881, CVE-2023-42882, CVE-2023-42883, CVE-2023-42884, CCVE-2023-42886, VE-2023-42900, CVE-2023-42901, CVE-2023-42902, CVE-2023-42903, CVE-2023-42904, CVE-2023-42904, CVE-2023-42905, CVE-2023-42906, CVE-2023-42907, CVE-2023-42908, CVE-2023-42909, CVE-2023-42910, CVE-2023-42911, CVE-2023-42912, CVE-2023-42914, CVE-2023-42916, CVE-2023-42917, CVE-2023-42919, CVE-2023-42922, CVE-2023-42923, CVE-2023-42884, CVE-2023-42894, CVE-2023-42897, CVE-2023-45866, CVE-2023-42924, CVE-2023-42926, CVE-2023-42927, CVE-2023-42922, CVE-2023-42898, CVE-2023-42899",5.458499655058197
Vulnerability in Samsung (11 Dec 2023),"An improper input validation vulnerability has been discovered in Samsung Open Source Escargot. The affected versions are Samsung Open Source Escargot from 3.0.0 through 4.0.0.
CVE ID: CVE-2023-41268 (Critical)",4.933454717182222
Vulnerability in Apache Struts 2 (09 Dec 2023),"A Remote Code Execution (RCE) vulnerability has been discovered in Apache Struts 2. Users are recommended to upgrade to versions Struts 2.5.33 or Struts 6.3.0.2 or greater to fix this vulnerability.
CVE ID: CVE-2023-50164 (Critical)",8.318208333333336
Microsoft Edge Security Update (07 Dec 2023),"Microsoft has released Microsoft Edge Stable Channel (Version 120.0.2210.61) to resolve multiple vulnerabilities.
CVE ID: CVE-2023-38174 (Medium), CVE-2023-35618 (Critical), CVE-2023-36880 (Medium)",5.425032485956607
Multiple Vulnerabilities in Mitsubishi Electric Products (07 Dec 2023),"Multiple vulnerabilities have been discovered in Mitsubishi Electric FA products that allow to disclose information in the affected products. The mitigation is available.
CVE ID: CVE-2022-21151 (Medium), CVE-2021-33149 (Low)",5.20465739522144
Google Released Security Updates for Chrome (06 Dec 2023),"Google has released Beta channel 120.0.6099.80 (Platform version: 15662.35.0) for ChromeOS devices and Stable channel 120.0.6099.71 for Mac, Linux & Windows.",5.552860778922065
Vulnerability in Jupiter (06 Dec 2023),"A deserialization vulnerability has been discovered in Jupiter that allows it to execute arbitrary commands. The affected version is Jupiter v1.3.1.
CVE ID: CVE-2023-48887 (Critical)",7.402955070981385
Vulnerability in Jupiter (06 Dec 2023),"A deserialization vulnerability has been discovered in NettyRpc that allows it to execute arbitrary commands. The affected version is NettyRpc v1.2.
CVE ID: CVE-2023-48886 (Critical)",7.402955070981385
Vulnerability in TOTOLINK (06 Dec 2023),"A command execution vulnerability has been discovered in TOTOLINK. The affected version is TOTOLINK X6000R_Firmware V9.4.0cu.852_B20230719.
CVE ID: CVE-2023-48801 (Critical)",5.903444328705367
Vulnerability in D-Link (06 Dec 2023),"A command injection vulnerability has been discovered in D-Link. The affected version is D-Link Go-RT-AC750 revA_v101b03.
CVE ID: CVE-2023-48842 (Critical)",5.666579231765197
Vulnerability in RuoYi (06 Dec 2023),"A SQL injection vulnerability has been discovered in RuoYi. The affected versions are RuoYi up to v4.6.
CVE ID: CVE-2023-49371 (Critical)",4.636408355031638
Vulnerability in KEPServerEX (06 Dec 2023),"A buffer overflow vulnerability has been discovered in KEPServerEX that may allow the product to crash when being accessed or leak information.
CVE ID: CVE-2023-5908 (Critical)",5.4738084079638
Threat Actors Exploited Vulnerability in Adobe ColdFusion (05 Dec 2023),"Threat actors had exploited an improper access control vulnerability in Adobe ColdFusion that resulted in arbitrary code execution. The affected products are Adobe ColdFusion versions 2018 Update 15 (and earlier) and 2021 Update 5 (and earlier). Cybersecurity and Infrastructure Security Agency (CISA) has released mitigation to avoid exploitation.
CVE ID: CVE-2023-26360 (High)",6.440501889822571
Vulnerability in Zebra Technologies' Equipments (05 Dec 2023),"An authentication bypass vulnerability has been discovered in Zebra Technologies' Equipment- ZTC Industrial ZT410, ZTC Desktop GK420d. All versions of ZTC Industrial ZT410 and ZTC Desktop GK420d are affected.
CVE ID: CVE-2023-4957 (Medium)",4.619601478539573
Cisco Released Security Updates (05 Dec 2023),"Cisco has released a security update to resolve vulnerability in Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) due to improper validation of the packet's inner source IP address after decryption. An attacker can exploit this vulnerability to take control of an affected system.
CVE ID: CVE-2023-20275 (Medium)",4.688644837110848
Vulnerability in My Calendar WordPress Plugin (05 Dec 2023),"A SQL injection vulnerability has been discovered in My Calendar WordPress Plugin. The affected versions are My Calendar below 3.4.22.
CVE ID: CVE-2023-6360 (Critical)",4.781655457173347
Vulnerability in Jenkins MATLAB Plugin (05 Dec 2023),"A vulnerability has been discovered in Jenkins MATLAB Plugin which can cause XML External Entity (XXE) attack. The affected versions are Jenkins MATLAB Plugin 2.11.0 and earlier.
CVE ID: CVE-2023-49656 (Critical)",4.592534801134599
Vulnerability in Jenkins MATLAB Plugin (05 Dec 2023),"A missing permission checks vulnerability has been discovered in the Jenkins MATLAB Plugin. The affected versions are Jenkins MATLAB Plugin 2.11.0 and earlier.
CVE ID: CVE-2023-49654 (Critical)",4.642125397297103
Android Security Updates (04 Dec 2023),"Android has released a security bulletin to resolve multiple vulnerabilities affecting several Android devices. Security patch levels of 2023-12-05 or later, address all of these issues.
CVE ID: CVE-2023-45866 (Critical), CVE-2023-40088 (Critical), CVE-2023-40077 (Critical), CVE-2023-40076 (Critical)",4.923015476876471
Vulnerability in NEC Platforms (04 Dec 2023),"An OS command injection vulnerability has been discovered in NEC Platforms DT900 and DT900S Series. All versions of NEC Platforms DT900 and DT900S Series are affected.
CVE ID: CVE-2023-3741 (Critical)",5.163684516006276
Vulnerability in NETGEAR ProSAFE Network Management System (04 Dec 2023),"A vulnerability has been discovered in NETGEAR ProSAFE Network Management System that allows an arbitrary code execution via Java Debug Wire Protocol (JDWP) listening port 11611.
CVE ID: CVE-2023-49693 (Critical)",6.836247274734535
Vulnerability in XMachOViewer (04 Dec 2023),"A dylib injection vulnerability has been discovered in XMachOViewer that allows attackers to compromise integrity. The affected version is XMachOViewer 0.04.
CVE ID: CVE-2023-49313 (Critical)",6.539041860517097
Google Released Security Update for Chrome (04 Dec 2023),"Google has released Beta channel 120.0.6099.62 for Windows, Mac and Linux.",5.326550118820499
Vulnerability in Anyscale Ray (04 Dec 2023),"An arbitrary code execution vulnerability has been discovered in Anyscale Ray. The affected versions are Anyscale Ray 2.6.3 and 2.8.0.
CVE ID: CVE-2023-48022 (Critical)",6.975043273448814
Vulnerability in Anyscale Ray (04 Dec 2023),"A Server-Side Request Forgery (SSRF) vulnerability has been discovered in Anyscale Ray. The affected versions are Anyscale Ray 2.6.3 and 2.8.0.
CVE ID: CVE-2023-48023 (Critical)",4.566008418754761
Vulnerability in Chamilo LMS (04 Dec 2023),"A command injection vulnerability has been discovered in Chamilo LMS. The affected versions are Chamilo LMS v1.11.20 and below.
CVE ID: CVE-2023-3368 (Critical)",4.774414712243369
Vulnerability in Skia for Google Chrome (01 Dec 2023),"An integer overflow vulnerability has been discovered in Skia in Google Chrome. The affected versions are Google Chrome prior to 119.0.6045.199.
CVE ID: CVE-2023-6345 (Critical)",5.410212966906776
Vulnerability in jflyfox jfinalCMS (01 Dec 2023),"An arbitrary code execution vulnerability has been discovered in jflyfox jfinalCMS. The affected version is jflyfox jfinalCMS v.5.1.0.
CVE ID: CVE-2023-47503 (Critical)",7.125772621521581
Vulnerability in WPB Show Core WordPress plugin (01 Dec 2023),"A Server Side Request Forgery (SSRF) vulnerability has been discovered in the WPB Show Core WordPress plugin. The affected versions are WPB Show Core through 2.2.
CVE ID: CVE-2023-5974 (Critical)",4.807809436112927
Google Released Security Update for Chrome (01 Dec 2023),"Google has released Dev channel 121.0.6156.3 for Windows, Mac and Linux.",5.326550118820499
Vulnerability in Mitsubishi Electric (30 Nov 2023),"Malicious code execution vulnerability has been discovered in multiple Mitsubishi Electric FA engineering software products. All versions of GX Works3, MELSOFT iQ AppPortal, MELSOFT Navigator, and Motion Control Setting (*1) are affected.
CVE ID: CVE-2023-5247 (High)",6.089844606527705
CISA Released Secure by Design Alert for Software Manufacturers (29 Nov 2023),"Cybersecurity & Infrastructure Security Agency (CISA) has released principles to be followed by Software Manufacturers in order to have a product ""Secure by design"" to protect from ongoing malicious cyber activity against web management interfaces.",4.9123046089289835
Microsoft Edge Security Updates (29 Nov 2023),"Microsoft has released Microsoft Edge Stable Channel (Version 119.0.2151.97) and Microsoft Edge Extended Stable Channel (Version 118.0.2088.122) to resolve multiple vulnerabilities.
CVE ID: CVE-2023-6345",5.394154482925155
Google Released Security Updates for Chrome (29 Nov 2023),"Google has released Chrome Beta 120 (120.0.6099.43) for Android, Beta channel 120.0.6099.56 for Windows, Mac & Linux, Stable channel 120.0.6099.56 for Windows & Mac, and Chrome Stable 120 (120.0.6099.50) for iOS.",5.483453400328075
Drupal Security Updates (29 Nov 2023),"Drupal has released security updates to resolve an access bypass vulnerability in Xsendfile, a third-party library used in it.",4.119324970572372
Vulnerability in Zyxel Firmware (29 Nov 2023),"A vulnerability has been discovered in the WSGI server of Zyxel firmware that allows to execute some operating system (OS) commands by sending a crafted URL to a vulnerable device. The affected versions are Zyxel NAS326 firmware version V5.21(AAZF.14)C0 and NAS542 firmware version V5.21(ABAG.11)C0.
CVE ID: CVE-2023-4474 (Critical)",5.404037493022007
Vulnerability in Zyxel Firmware (29 Nov 2023),"A command injection vulnerability has been discovered in the web server of Zyxel firmware. The affected versions are Zyxel NAS326 firmware version V5.21(AAZF.14)C0 and NAS542 firmware version V5.21(ABAG.11)C0.
CVE ID: CVE-2023-4473 (Critical)",4.8625317896713875
Vulnerability in Zyxel Firmware (29 Nov 2023),"A command injection vulnerability has been discovered in the ""show_zysync_server_contents"" function of Zyxel firmware. The affected versions are Zyxel NAS326 firmware version V5.21(AAZF.14)C0 and NAS542 firmware version V5.21(ABAG.11)C0.
CVE ID: CVE-2023-35138 (Critical)",4.8710645704499305
Vulnerability in Pandora FMS (29 Nov 2023),"An uncontrolled search path element vulnerability has been discovered in Pandora FMS. The affected versions are Pandora FMS: from 700 through 773.
CVE ID: CVE-2023-41790 (Critical)",4.851981856712794
Vulnerability in Drag and Drop Multiple File Upload - Contact Form 7 plugin for WordPress (29 Nov 2023),"A Remote Code Execution (RCE) vulnerability has been discovered in Drag and Drop Multiple File Upload - Contact Form 7 plugin for WordPress. The affected versions are Drag and Drop Multiple File Upload - Contact Form 7 plugin versions up to, and including, 1.3.7.3.
CVE ID: CVE-2023-5822 (Critical)",7.7349749999999995
Vulnerability in INEA ME RTU Firmware (29 Nov 2023),"An OS command injection vulnerability has been discovered in INEA ME RTU firmware. The affected versions are INEA ME RTU firmware 3.36b and prior.
CVE ID: CVE-2023-35762 (Critical)",5.342576814603855
Vulnerability in Royal Elementor Addons and Templates WordPress plugin (29 Nov 2023),"A Remote Code Execution (RCE) vulnerability has been discovered in Royal Elementor Addons and Templates WordPress plugin. The affected versions are Royal Elementor Addons and Templates before 1.3.79.
CVE ID: CVE-2023-5360 (Critical)",7.4603083333333355
Vulnerability in Franklin Electric Fueling Systems' Equipment (28 Nov 2023),"A path traversal vulnerability has been discovered in Franklin Electric Fueling Systems' Equipment- Colibri that can allow obtaining login credentials for other users. All versions of FFS Colibri are affected.
CVE ID: CVE-2023-5885 (Medium)",4.656512772833733
"Multiple Vulnerabilities in Becton, Dickinson and Company's Equipment (28 Nov 2023)","Multiple vulnerabilities have been discovered in Becton, Dickinson and Company's Equipment- FACSChorus. The affected versions are BD FACSChorus (HP Z2 G9 workstation, shipped with FACSDiscover S8 Cell Sorter): v5.0 and v5.1, and BD FACSChorus (HP Z2 G5 workstation, shipped with FACSMelody Cell Sorter) v3.0 and v3.1.
CVE ID: CVE-2023-29060 (Medium), CVE-2023-29061 (Medium), CVE-2023-29062 (Low), CVE-2023-29063 (Low), CVE-2023-29064 (Medium), CVE-2023-29065 (Medium), CVE-2023-29066 (Low)",5.015102166398935
Multiple Vulnerabilities in Delta Electronics' Equipment (28 Nov 2023),"Multiple vulnerabilities have been discovered in Delta Electronics' Equipment- InfraSuite Device Master that can allow to remotely execute arbitrary code and obtain plaintext credentials. The affected versions are InfraSuite Device Master: 1.0.7 and prior.
CVE ID: CVE-2023-46690 (High), CVE-2023-47207 (Critical), CVE-2023-39226 (Critical), CVE-2023-47279 (High)",6.301004135086293
Vulnerability in Article Analytics WordPress plugin (27 Nov 2023),"A SQL injection vulnerability has been discovered in Article Analytics WordPress plugin.
CVE ID: CVE-2023-5640 (Critical)",5.786454450166751
Vulnerability in SmartNode SN200 (27 Nov 2023),"An OS command injection vulnerability has been discovered in SmartNode SN200. The affected version is SmartNode SN200 3.21.2-23021.
CVE ID: CVE-2023-41109 (Critical)",5.927139499248125
CISA Guidelines for Secure AI System Development (26 Nov 2023),"Cybersecurity & Infrastructure Security Agency (CISA) has released guidelines for providers of any systems that use Artificial Intelligence (AI), whether those systems have been created from scratch or built on top of tools and services provided by others.The guidelines are broken down into four key areas within the AI system development life cycle- secure design, secure development, secure deployment and secure operation & maintenance. Implementing these guidelines will help providers build AI systems that function as intended, are available when needed, and work without revealing sensitive data to unauthorised parties.",5.205331383855873
Vulnerability in RenderDoc (25 Nov 2023),"A buffer overflow vulnerability has been discovered in SerialiseValue of RenderDoc. The affected versions are RenderDoc before 1.27.
CVE ID: CVE-2023-33863 (Critical)",5.326240021484091
Vulnerability in ReadyMedia (25 Nov 2023),"A buffer overflow vulnerability has been discovered in ReadyMedia. The affected versions are ReadyMedia from 1.1.15 up to 1.3.2.
CVE ID: CVE-2023-33476 (Critical)",5.588131625604358
Vulnerability in AppPresser plugin for WordPress (24 Nov 2023),"An unauthorized password resets vulnerability has been discovered in AppPresser plugin for WordPress. The affected versions are AppPresser plugin versions up to, and including 4.2.5.
CVE ID: CVE-2023-4214 (Critical)",4.706178834457182
Vulnerability in kodbox (24 Nov 2023),"A vulnerability has been discovered in kodbox that enables user enumeration. The affected version is kodbox 1.46.01.
CVE ID: CVE-2023-48028 (Critical)",5.448435254412801
Vulnerability in OpenNDS (24 Nov 2023),"A vulnerability has been discovered in the captive portal of OpenNDS. The affected versions are OpenNDS before version 10.1.3.
CVE ID: CVE-2023-41101 (Critical)",4.492601597198806
CVE - KB Correlation (24 Nov 2023),List of CVE IDs and corresponding Knowledge Base IDs as released by Microsoft during November 2023.,6.140797410995398
